"CTIDEN";"CTCODI";"CTDESC";"CTSMLDV";"CTANEX";"CTTCID"
125;"I01";"EL CONDUCTOR QUE SEA SORPRENDIDO FUMANDO MIENTRAS CONDUCE, DARA LUGAR A LA IMPOSICION DE DIEZ (10) SALARIOS MINIMOS LEGALES DIARIOS VIGENTES. SI SE TRATARE DE UN CONDUCTOR DE SERVICIO PUBLICO, ADEMAS ";0;NULL;NULL
126;"I02";"QUIEN INCUMPLA LA OBLIGACION CONSAGRADA EN EL ARTICULO 21 DE ESTE CODIGO, Y SE LE COMPRUEBE QUE EN CASO DE UN ACCIDENTE LA DEFICIENCIA DE CARACTER ORGANICO O FUNCIONAL FUE SU CAUSA, EL CONDUCTOR SE HA";0;NULL;NULL
127;"J01";"EL PARTICULAR U ORGANISMO ESTATAL QUE DAÑE, RETIRE O MODIFIQUE LAS SEÑALES U OTROS ELEMENTOS REGULADORES O INDICADORES DEL TRAFICO EN LAS CIUDADES, SERA SANCIONADO CON MULTA EQUIVALENTE A TRES (3) SAL";0;NULL;NULL
128;"J02";"EN CASO DE INMOVILIZACION DE VEHICULOS DE SERVICIO PUBLICO, EL INCUMPLIMIENTO DEL COMPROMISO SUSCRITO POR EL PROPIETARIO O INFRACTOR DE SUBSANAR LA FALTA EN UN PLAZO NO MAYOR A CINCO (5) DIAS, DARA LU";0;NULL;NULL
129;"J03";"SERAN SANCIONADOS CON MULTA EQUIVALENTE A MIL (1.000) SLARIOS MINIMOS LEGALES DIARIOS VIGENTES POR CADA UNIDAD Y A LA CANCELACION DE SU REGISTRO, LAS ENSAMBLADORAS O FABRICANTES DE VEHICULOS, CARROCER";0;NULL;NULL
130;"J04";"SERA SANCIONADO CON MULTA EQUIVALENTE A CIEN (100) SALARIOS MINIMOS LEGALES DIARIOS VIGENTES EL PROPIETARIO DE EXPENDIO QUE PROVEA DE COMBUSTIBLE A UN VEHICULO AUTOMOTOR DE SERVICIO PUBLICO CON EL MOT";0;NULL;NULL
131;"J05";"EL PROPIETARIO O ADMINISTRADOR DEL PARQUEADERO AUTORIZADO PARA MATERIALIZAR LA INMOVILIZACION DE UN VEHICULO, QUE PERMITA LA SALIDA DE UN VEHICULO INMOVILIZADO POR INFRACCION A LAS NORMAS DE TRANSITO,";0;NULL;NULL
132;"J06";"EL PROPIETARIO O ADMINISTRADOR DEL PARQUEADERO AUTORIZADO QUE NO ENTREGUE LOS ELEMENTOS CONTENIDOS EN EL VEHICULO Y RELACIONADOS EN EL INVENTARIO, ASI COMO LAS CONDICIONES DEL ESTADO EXTERIOR DESCRITA";0;NULL;NULL
89;"D14";"LAS AUTORIDADES DE TRANSITO ORDENARAN LA INMOVILIZACION INMEDIATA DE LOS VEHICULOS QUE USEN PARA SU MOVILIZACION COMBUSTIBLES NO REGULADOS COMO GAS PROPANO Y OTROS QUE PONGAN EN PELIGRO LA VIA DE LOS ";0;NULL;NULL
64;"C29";"CONDUCIR UN VEHICULO A VELOCIDAD SUPERIOR A LA MAXIMA PERMITIDA";15;NULL;NULL
67;"C32";"NO RESPETAR EL PASO DE PEATONES QUE CRUZA UNA VIA EN SENTIDO PERMITIDO PARA ELLOS O NO DARLES LA PRELACION EN LAS FRANJAS PARA ELLO ESTABLECIDAS.";15;NULL;NULL
47;"C14";"TRANSITAR POR LOS SIGUIENTES SITIOS RESTRINGIDOS O EN HORAS PROHIBIDAS POR LA AUTORIDAD COMPETENTE. ADEMAS, EL VEHICULO SERA INMOVILIZADO: A) POR LA ZONA DE SEGURIDAD Y PROTECCION DE LA VIA FERREA. B)";15;NULL;NULL
114;"H03";"EL CONDUCTOR, PASAJERO O PEATON, QUE OBSTACULICE, PERJUDIQUE O PONGA EN RIESGO A LAS DEMAS PERSONAS O QUE NO CUMPLA LAS NORMAS Y SEÑALES DE TRANSITO QUE LE SEAN APLICABLES O NO OBEDEZCA LAS INDICACION";5;NULL;NULL
133;"EDUCA";"COMPARENDO EDUCATIVO PERKONS";5;NULL;NULL
